iter	Passed	Remaining
0	958	957552
1	1005	501672
2	1026	341203
3	1160	28894	950	189205
5	987	163669
6	1016	144178
7	1041	129204
8	1069	117708
9	1095	108435
10	1117	100448
11	1143	94186
12	1169	88775
13	1203	84728
14	1227	80616
15	1253	77093
16	1274	73714
17	1295	70651
18	1315	67915
19	1334	65404
20	1354	63142
21	1376	61189
22	1397	59368
23	1416	57591
24	1433	55924
25	1450	54321
26	1470	52995
27	1491	51780
28	1509	50538
29	1529	49441
30	1550	48472
31	1568	431	1932	1587	432	1933	1606	433	1934	1624	434	1935	1645	435	1936	1665	436	2037	1683	437	2038	1702	438	2039	1725	439	2040	1745	440	2041	1762	441	2142	1782	342	2143	1802	343	2144	1824	344	2145	1843	345	2146	1863	346	2247	1881	347	2248	1897	348	2249	1919	349	2250	1937	350	2251	1954	351	2352	1973	352	2353	1993	353	2354	2010	354	2355	2029	355	2356	2049	356	2357	2069	357	2458	2086	358	2459	2102	359	2460	2121	360	2461	2139	361	2462	2159	362	2563	2177	363	2564	2197	364	2565	2215	365	2566	2234	366	2567	2254	367	2668	2272	368	2669	2293	369	2670	2310	370	2671	2329	371	2672	2350	272	2673	2370	273	2774	2388	274	2775	2408	275	2776	2427	276	2777	2445	277	2778	2465	278	2879	2483	279	2880	2504	280	2881	2524	281	2882	2542	282	2883	2559	283	2884	2578	284	2985	2599	285	2986	2618	286	2987	2638	287	2988	2657	288	2989	2678	289	3090	2700	290	3091	2720	291	3092	2740	292	3093	2761	293	3194	2784	294	3195	2806	295	3196	2828	26330
97	2845	26191
98	2865	26083
99	2885	25971
100	2903	25847
101	2924	25747
102	2941	25620
103	2961	25514
104	2979	25394
105	2999	25294
106	3017	25185
107	3036	25082
108	3054	24968
109	3074	24877
110	3091	24757
111	3111	24666
112	3129	24564
113	3149	24474
114	3168	24382
115	3185	24273
116	3205	24193
117	3224	24098
118	3242	24005
119	3262	23923
120	3282	23848
121	3305	23790
122	3326	23714
123	3343	23622
124	3361	23528
125	3378	23435
126	3396	23348
127	3414	23263
128	3434	23191
129	3454	23117
130	3474	23046
131	3494	22978
132	3513	22906
133	3533	22835
134	3554	22775
135	3573	22700
136	3595	22647
137	3615	22582
138	3632	22501
139	3651	22430
140	3670	22361
141	3691	22302
142	3708	22225
143	3729	22170
144	3748	22102
145	3769	22048
146	3788	21984
147	3808	21924
148	3826	21854
149	3845	21789
150	3864	21726
151	3883	21663
152	3897	21578
153	3916	21514
154	3935	21452
155	3954	21395
156	3972	21329
157	3989	21258
158	4005	21188
159	4023	21124
160	4041	21062
161	4059	21000
162	4077	20936
163	4094	20873
164	4113	20814
165	4130	20751
166	4147	20685
167	4164	20622
168	4182	20566
169	4201	20514
170	4219	20454
171	4237	20400
172	4259	20360
173	4276	20302
174	4293	20242
175	4313	20195
176	4334	20155
177	4351	20096
178	4374	20062
179	4391	20007
180	4408	19949
181	4426	19892
182	4445	19845
183	4464	19797
184	4486	19766
185	4506	19720
186	4522	19663
187	4542	19619
188	4561	19571
189	4580	19528
190	4598	19477
191	4617	19430
192	4635	19382
193	4654	19336
194	4671	19285
195	4688	19232
196	4707	19189
197	4724	19137
198	4743	19092
199	4760	19040
200	4780	19001
201	4800	18965
202	4819	18923
203	4837	18876
204	4857	18835
205	4876	18797
206	4894	18751
207	4914	18713
208	4933	18671
209	4951	18628
210	4971	18589
211	4990	18548
212	5009	18509
213	5028	18470
214	5047	18429
215	5062	18376
216	5081	18335
217	5100	18296
218	5118	18253
219	5138	18218
220	5156	18177
221	5177	18144
222	5194	18100
223	5213	18062
224	5231	18020
225	5251	17984
226	5271	17950
227	5289	17909
228	5306	17867
229	5322	17819
230	5339	17776
231	5359	17742
232	5378	17704
233	5395	17662
234	5417	17634
235	5436	17598
236	5454	17559
237	5473	17524
238	5493	17492
239	5510	17450
240	5526	17406
241	5545	17371
242	5567	17343
243	5584	17302
244	5604	17270
245	5622	17234
246	5641	17198
247	5658	17159
248	5679	17128
249	5697	17093
250	5716	17059
251	5736	17027
252	5757	16999
253	5774	16960
254	5792	16923
255	5810	16887
256	5829	16854
257	5851	16829
258	5874	16807
259	5895	16780
260	5918	16756
261	5944	16743
262	5969	16728
263	5997	16720
264	6020	16699
265	6045	16681
266	6071	16669
267	6093	16643
268	6117	16624
269	6139	16599
270	6164	16581
271	6186	16557
272	6205	16524
273	6225	16496
274	6245	16464
275	6264	16432
276	6284	16404
277	6305	16376
278	6324	16344
279	6344	16314
280	6363	16283
281	6386	16261
282	6407	16233
283	6424	16196
284	6442	16163
285	6462	16134
286	6479	16096
287	6499	16068
288	6517	16033
289	6536	16003
290	6553	15967
291	6571	15934
292	6592	15907
293	6610	15875
294	6631	15849
295	6649	15814
296	6667	15782
297	6689	15758
298	6710	15733
299	6728	15700
300	6751	15677
301	6771	15649
302	6792	15624
303	6810	15591
304	6829	15563
305	6850	15537
306	6868	15504
307	6887	15474
308	6905	15442
309	6924	15413
310	6944	15385
311	6962	15352
312	6982	15326
313	7005	15305
314	7027	15281
315	7049	15259
316	7070	15234
317	7092	15211
318	7112	15183
319	7135	15163
320	7154	15134
321	7177	15113
322	7198	15088
323	7219	15062
324	7237	15032
325	7258	15007
326	7277	14978
